SpeciesCommonName,StockKeyLabel,DataCategory,ExpertGroup
Alfonsinos,alf.27.nea,5.2,WGDEEP
Anchovy,ane.27.8,1,WGHANSA
Anchovy,ane.27.9a,3.9,WGHANSA
Angel shark,agn.27.nea,6.3,WGEF
Anglerfish,anf.27.3a46,3,WGCSE
Anglerfish,anf.27.1-2,3.2,AFWG
Basking shark,bsk.27.nea,6.3,WGEF
Beaked redfish,reb.27.14b,3.2,NWWG
Beaked redfish,reb.2127.sp,3.14,NWWG
Beaked redfish,reb.27.1-2,1,AFWG
Beaked redfish,reb.27.5a14,3.2,NWWG
Beaked redfish,reb.2127.dp,2.13,NWWG
Black scabbardfish,bsf.27.nea,3.2,WGDEEP
Black-bellied anglerfish,ank.27.8c9a,1,WGBIE
Black-bellied anglerfish,ank.27.78ab,3.2,WGBIE
Black-mouth dogfish,sho.27.67,3.9,WGEF
Black-mouth dogfish,sho.27.89a,3.9,WGEF
Blackspot seabream,sbr.27.6-8,6.3,WGDEEP
Blackspot seabream,sbr.27.10,5.2,WGDEEP
Blackspot seabream,sbr.27.9,3.2,WGDEEP
Blonde ray,rjh.27.7e,5.2,WGEF
Blonde ray,rjh.27.7afg,5.2,WGEF
Blonde ray,rjh.27.4c7d,5.2,WGEF
Blonde ray,rjh.27.4a6,5.2,WGEF
Blonde ray,rjh.27.9a,3.2,WGEF
Blue jack mackerel,jaa.27.10a2,3.2,WGHANSA
Blue ling,bli.27.nea,5.3,WGDEEP
Blue ling,bli.27.5a14,3.3,WGDEEP
Blue ling,bli.27.5b67,1,WGDEEP
Blue whiting,whb.27.1-91214,1,WGWIDE
Boarfish,boc.27.6-8,3.2,WGWIDE
Brill,bll.27.22-32,3.2,WGBFAS
Brill,bll.27.3a47de,3.2,WGNSSK
Capelin,cap.27.2a514,1.8,NWWG
Capelin,cap.27.1-2,1.8,AFWG
Cod,cod.27.47d20,1,WGNSSK
Cod,cod.27.7e-k,1,WGCSE
Cod,cod.27.1-2coast,3.8,AFWG
Cod,cod.27.1-2,1,AFWG
Cod,cod.27.5a,1,NWWG
Cod,cod.27.22-24,1,WGBFAS
Cod,cod.27.7a,1.2,WGCSE
Cod,cod.27.6a,1.2,WGCSE
Cod,cod.27.5b1,1.7,NWWG
Cod,cod.27.6b,6.2,WGCSE
Cod,cod.27.21,3.2,WGBFAS
Cod,cod.21.1a-e,3.14,NWWG
Cod,cod.27.25-32,3.2,WGBFAS
Cod,cod.21.1,3.2,NWWG
Cod,cod.27.5b2,3.8,NWWG
Cod,cod.2127.1f14,3.3,NWWG
Common skate,rjb.27.67a-ce-k,6.3,WGEF
Common skate,rjb.27.89a,5.3,WGEF
Common skate,rjb.27.3a4,6.3,WGEF
Cuckoo ray,rjn.27.9a,3.2,WGEF
Cuckoo ray,rjn.27.8c,3.2,WGEF
Cuckoo ray,rjn.27.67,3.2,WGEF
Cuckoo ray,rjn.27.3a4,3.2,WGEF
Dab,dab.27.3a4,3.2,WGNSSK
Dab,dab.27.22-32,3.2,WGBFAS
Eel,ele.2737.nea,3.14,WGEEL
Flounder,fle.27.3a4,3.2,WGNSSK
